City,Product ID,Order ID,First Name,Last Name,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit,Latitude,Longitude
Columbus,Product1,957081544,Angelique,Goodwin,552,255.28,159.42,140914.56,87999.84,52914.72,40.14453,-82.99115
Scarsdale,Product1,301644504,Jeni,Shaffer,2167,152.58,97.44,330640.86,211152.48,119488.38,40.97008,-73.8067
Great Neck,Product1,478051030,Donald,Farris,4778,47.45,31.79,226716.1,151892.62,74823.48,40.77944,-73.7224
Hartsdale,Product1,892599952,Steven,Rendon,9016,205.7,117.11,1854591.2,1055863.76,798727.44,41.02654,-73.79168
Lawrence,Product2,571902596,Jenell,Almanza,7542,152.58,97.44,1150758.36,734892.48,415865.88,40.62715,-73.73675
Mount Vernon,Product1,412882792,Almeta,Brookins,48,81.73,56.67,3923.04,2720.16,1202.88,40.91144,-73.83804
Bronx,Product1,932776868,Bobbie,Branson,8258,109.28,35.84,902434.24,295966.72,606467.52,40.82292,-73.84887
Bronx,Product1,919133651,Bertram,Carlisle,927,109.28,35.84,101302.56,33223.68,68078.88,40.85389,-73.9076
Bronx,Product1,579814469,Carlton,Leclair,8841,109.28,35.84,966144.48,316861.44,649283.04,40.87151,-73.84823
Bronx,Product1,192993152,Todd,Slater,9817,255.28,159.42,2506083.76,1565026.14,941057.62,40.86671,-73.89562
Bronx,Product1,557156026,Adalberto,Hazel,3704,651.21,524.96,2412081.84,1944451.84,467630,40.88763,-73.90737
New York City,Product1,741101920,Seymour,Nelson,7382,437.2,263.33,3227410.4,1943902.06,1283508.34,40.84941,-73.9337
Bronx,Product1,333942162,Vicente,Dawkins,9762,205.7,117.11,2008043.4,1143227.82,864815.58,40.87913,-73.90465
Bronx,Product1,795100581,Rex,Ng,6786,437.2,263.33,2966839.2,1786957.38,1179881.82,40.84239,-73.84501
Brooklyn,Product1,504313504,Arlena,Clough,6428,255.28,159.42,1640939.84,1024751.76,616188.08,40.60268,-73.99304
Brooklyn,Product1,611629760,Cory,Clarke,3693,421.89,364.69,1558039.77,1346800.17,211239.6,40.67576,-73.97135
